,Date,signal,short_mavg,long_mavg,signal_ma
1970,2022-02-08,0.0,307.30597916663044,314.4879677787004,0.0
1971,2022-02-09,0.0,307.6777898607683,314.39563041747164,0.0
1972,2022-02-10,0.0,307.1732389104868,314.05716209255166,0.0
1973,2022-02-11,0.0,306.0176931613854,313.52146762642127,0.0
1974,2022-02-14,0.0,304.96838905077726,312.9997361439869,0.0
1975,2022-02-15,0.0,304.5399711621988,312.6467858644578,0.0
1976,2022-02-16,0.0,304.05997390865605,312.27645386827595,0.0
1977,2022-02-17,0.0,302.79045363033913,311.6695118152634,0.0
1978,2022-02-18,0.0,301.3751716346669,311.00079296626393,0.0
1979,2022-02-22,0.0,300.0746792142894,310.3449960156847,0.0
1980,2022-02-23,0.0,298.18851824280205,309.49781271985336,0.0
1981,2022-02-24,0.0,297.84580187090575,309.07787423022063,0.0
1982,2022-02-25,0.0,297.7947728887808,308.74638474651283,0.0
1983,2022-02-28,0.0,297.88955723698473,308.46592344505956,0.0
1984,2022-03-01,0.0,297.60960056746535,308.0851935510306,0.0
1985,2022-03-02,0.0,297.8553531268883,307.86279380146374,0.0
1986,2022-03-03,0.0,297.67103506030224,307.526377452908,0.0
1987,2022-03-04,0.0,296.9271255642318,307.02873260498274,0.0
1988,2022-03-07,0.0,295.21120919260113,306.2366557333525,0.0
1989,2022-03-08,0.0,293.3672850888787,305.38069377194864,0.0
1990,2022-03-09,0.0,292.90373412803314,304.9051812713304,0.0
1991,2022-03-10,0.0,292.2071876718291,304.36109155489544,0.0
1992,2022-03-11,0.0,291.0512657339615,303.6768356610736,0.0
1993,2022-03-14,0.0,289.65971684895624,302.90960092249145,0.0
1994,2022-03-15,0.0,289.42069561538744,302.4656683302096,0.0
1995,2022-03-16,0.0,289.89396409472556,302.23818512790615,0.0
1996,2022-03-17,0.0,290.4012057257711,302.0404898065765,0.0
1997,2022-03-18,0.0,291.3563282924387,301.9951236902161,0.0
1998,2022-03-21,0.0,292.09953547050264,301.91526115421306,0.0
1999,2022-03-22,0.0,293.23862709793985,301.9756762641956,0.0
2000,2022-03-23,0.0,293.83399501569556,301.9056569394119,0.0
2001,2022-03-24,0.0,294.8117103573927,301.96746959192194,0.0
2002,2022-03-25,0.0,295.6563086734297,302.01570967879127,0.0
2003,2022-03-28,0.0,297.0890423432965,302.26033791902336,0.0
2004,2022-03-29,0.0,298.8338958022311,302.6307510385469,0.0
2005,2022-03-30,0.0,300.26495194978645,302.94706749806846,0.0
2006,2022-03-31,0.0,301.0311467696729,303.0981359504777,0.0
2007,2022-04-01,0.0,301.830086451393,303.27621700617505,0.0
2008,2022-04-04,0.0,303.081506905613,303.60561937841527,0.0
2009,2022-04-05,1.0,303.8242209986796,303.8105316461448,1.0
2010,2022-04-06,-1.0,303.4123904273768,303.6891082194929,-1.0
2011,2022-04-07,0.0,303.2178765883112,303.62378108985047,0.0
2012,2022-04-08,0.0,302.62284083901517,303.43635067100126,0.0
2013,2022-04-11,0.0,300.96923787964465,302.9243410680329,0.0
2014,2022-04-12,0.0,299.1683578490684,302.3366130818515,0.0
2015,2022-04-13,0.0,298.06851377936545,301.92206046312856,0.0
2016,2022-04-14,0.0,296.3315111882131,301.2997485225409,0.0
2017,2022-04-18,0.0,294.8256519334949,300.7144031842629,0.0
2018,2022-04-19,0.0,293.9184458248734,300.2801943000011,0.0
2019,2022-04-20,0.0,293.19859244646284,299.88807573807327,0.0
2020,2022-04-21,0.0,292.01872626666574,299.3506650851302,0.0
2021,2022-04-22,0.0,290.30551412501154,298.6374068793321,0.0
2022,2022-04-25,0.0,289.392608134125,298.13269122697636,0.0
2023,2022-04-26,0.0,287.56664557094194,297.3464182690532,0.0
2024,2022-04-27,0.0,287.1526794423478,296.9484910282546,0.0
2025,2022-04-28,0.0,287.3886151985825,296.74233648894636,0.0
2026,2022-04-29,0.0,286.44874603811485,296.2008619121781,0.0
2027,2022-05-02,0.0,286.2602941507423,295.87041513213654,0.0
2028,2022-05-03,0.0,285.8335993534618,295.47350199543683,0.0
2029,2022-05-04,0.0,286.22849569944907,295.31875576982816,0.0
2030,2022-05-05,0.0,285.38292526174115,294.81259380739687,0.0
2031,2022-05-06,0.0,284.36836199741606,294.2468872490569,0.0
2032,2022-05-09,0.0,282.48375481406845,293.4111999060487,0.0
2033,2022-05-10,0.0,281.24720673653815,292.73764497911776,0.0
2034,2022-05-11,0.0,279.27604302762677,291.8309504104938,0.0
2035,2022-05-12,0.0,276.9973728443781,290.80331817649443,0.0
2036,2022-05-13,0.0,275.4852416322647,289.96716823116185,0.0
2037,2022-05-16,0.0,274.15331385776335,289.1652761683122,0.0
2038,2022-05-17,0.0,273.4549037117115,288.5358319755208,0.0
2039,2022-05-18,0.0,271.60967496117274,287.565245210888,0.0
2040,2022-05-19,0.0,269.8506582400752,286.5955199764869,0.0
2041,2022-05-20,0.0,268.2039286513627,285.6367728661237,0.0
2042,2022-05-23,0.0,267.4845062937552,284.9329199374015,0.0
2043,2022-05-24,0.0,266.7355052293202,284.21987980162083,0.0
2044,2022-05-25,0.0,266.3340274944966,283.60861527238285,0.0
2045,2022-05-26,0.0,266.29269096135255,283.10978086742796,0.0
2046,2022-05-27,0.0,266.9543385111642,282.8317585960744,0.0
2047,2022-05-31,0.0,267.4224962831664,282.5229765262466,0.0
2048,2022-06-01,0.0,267.8984502969348,282.2383860164294,0.0
2049,2022-06-02,0.0,268.53478708506157,282.02265645462194,0.0
2050,2022-06-03,0.0,268.67623488778634,281.6845531464262,0.0
2051,2022-06-06,0.0,268.6832601365686,281.3201995366677,0.0
2052,2022-06-07,0.0,269.0467591711811,281.07174321169117,0.0
2053,2022-06-08,0.0,269.17659197984096,280.7714125201537,0.0
2054,2022-06-09,0.0,268.75882212889627,280.32123212648526,0.0
2055,2022-06-10,0.0,267.25703006835033,279.55133841850443,0.0
2056,2022-06-13,0.0,264.8763600148728,278.5008780266264,0.0
2057,2022-06-14,0.0,262.93480244137675,277.542825279205,0.0
2058,2022-06-15,0.0,261.8705350190395,276.8165483560397,0.0
2059,2022-06-16,0.0,260.2609603715789,275.9194625212415,0.0
2060,2022-06-17,0.0,259.05991594537943,275.1231394613892,0.0
2061,2022-06-21,0.0,258.55325780707324,274.52079765946735,0.0
2062,2022-06-22,0.0,258.0367575285722,273.918240116463,0.0
2063,2022-06-23,0.0,258.1151601783808,273.4940639259024,0.0
2064,2022-06-24,0.0,259.0280032287285,273.33085120142715,0.0
2065,2022-06-27,0.0,259.58629003060554,273.093081157681,0.0
2066,2022-06-28,0.0,259.2904539311505,272.6251073500373,0.0
2067,2022-06-29,0.0,259.38279258205284,272.2767947420257,0.0
2068,2022-06-30,0.0,259.13966820016833,271.841673385131,0.0
2069,2022-07-01,0.0,259.18160328322523,271.4962737565996,0.0
2070,2022-07-05,0.0,259.53097498039574,271.2527169213015,0.0
2071,2022-07-06,0.0,260.16707178750835,271.1106683166192,0.0
2072,2022-07-07,0.0,260.95115960741083,271.03431129069986,0.0
2073,2022-07-08,0.0,261.59009713642973,270.9392603715846,0.0
2074,2022-07-11,0.0,261.86818405349595,270.7581547207125,0.0
2075,2022-07-12,0.0,261.0874044454435,270.27679819812755,0.0
2076,2022-07-13,0.0,260.2905089002301,269.7822405367916,0.0
2077,2022-07-14,0.0,259.69903203649915,269.33992395353147,0.0
2078,2022-07-15,0.0,259.4153148159471,268.98443317232505,0.0
2079,2022-07-18,0.0,258.9233800715712,268.5693787167666,0.0
2080,2022-07-19,0.0,258.9811532818308,268.31474829599284,0.0
2081,2022-07-20,0.0,259.29437573248237,268.1444733866317,0.0
2082,2022-07-21,0.0,259.82253007585456,268.05138952610383,0.0
2083,2022-07-22,0.0,259.87371629258865,267.8347302535816,0.0
2084,2022-07-25,0.0,259.7743134620817,267.58107550199526,0.0
2085,2022-07-26,0.0,259.0243782653581,267.1393548933893,0.0
2086,2022-07-27,0.0,259.94967464335974,267.1844432128537,0.0
2087,2022-07-28,0.0,261.5173250260978,267.44431815508625,0.0
2088,2022-07-29,0.0,263.34805504593373,267.81884412915076,0.0
2089,2022-08-01,0.0,264.7444316859043,268.10591921750216,0.0
2090,2022-08-02,0.0,265.70401031812474,268.2950484599449,0.0
2091,2022-08-03,0.0,267.30077135646553,268.6943429039099,0.0
2092,2022-08-04,0.0,268.8578401698006,269.1156288473627,0.0
2093,2022-08-05,1.0,270.1961414547824,269.5042027858063,1.0
2094,2022-08-08,0.0,271.1603191566335,269.8088733361841,0.0
2095,2022-08-09,0.0,272.2212399791416,270.16073571524845,0.0
2096,2022-08-10,0.0,273.8344555679957,270.6959263616389,0.0
2097,2022-08-11,0.0,275.09022065806005,271.1557591124004,0.0
2098,2022-08-12,0.0,276.6921047536838,271.74038571943447,0.0
2099,2022-08-15,0.0,278.28999965530465,272.35248756454064,0.0
2100,2022-08-16,0.0,279.66333220766404,272.92593837835864,0.0
2101,2022-08-17,0.0,280.77349174257404,273.444081165566,0.0
2102,2022-08-18,0.0,281.6683985697322,273.91523418703554,0.0
2103,2022-08-19,0.0,282.09521717228,274.25987530561156,0.0
2104,2022-08-22,0.0,281.6813869653962,274.3581886772845,0.0
2105,2022-08-23,0.0,281.18220748692096,274.4168313185274,0.0
2106,2022-08-24,0.0,280.66866473054006,274.45551236715824,0.0
2107,2022-08-25,0.0,280.49545914701395,274.57930092311193,0.0
2108,2022-08-26,0.0,279.313986498526,274.39650361085216,0.0
2109,2022-08-29,0.0,277.97265549736426,274.13829255100643,0.0
2110,2022-08-30,0.0,276.5438312805394,273.8236927952232,0.0
2111,2022-08-31,0.0,275.10822841769783,273.47570148326497,0.0
2112,2022-09-01,0.0,273.70744417758226,273.10737169208807,0.0
2113,2022-09-02,-1.0,272.0267349757738,272.6271639700178,-1.0
2114,2022-09-06,0.0,270.2384745018906,272.0813283652286,0.0
2115,2022-09-07,0.0,269.08147658150966,271.68720633628953,0.0
2116,2022-09-08,0.0,268.075620622668,271.316298806075,0.0
2117,2022-09-09,0.0,267.73127498765945,271.12316338773707,0.0
2118,2022-09-12,0.0,267.628295836119,270.99715861333556,0.0
2119,2022-09-13,0.0,266.13893485107565,270.46174584938706,0.0
2120,2022-09-14,0.0,264.8133221243735,269.9478938880157,0.0
2121,2022-09-15,0.0,262.96253000612955,269.2558406766015,0.0
2122,2022-09-16,0.0,261.22705148108525,268.56525377002583,0.0
2123,2022-09-19,0.0,259.63590412788295,267.88792279826345,0.0
