,Date,signal,signal_rsi,rsi
2042,2022-05-23,1.0,1.0,37.784719414164485
2043,2022-05-24,1.0,1.0,30.862328930242455
2044,2022-05-25,1.0,1.0,39.34472527173748
2045,2022-05-26,1.0,1.0,43.72422708363158
2046,2022-05-27,0.0,0.0,56.41101759437109
2047,2022-05-31,0.0,0.0,51.851848319172234
2048,2022-06-01,0.0,0.0,60.676404404325254
2049,2022-06-02,0.0,0.0,68.29684579995563
2050,2022-06-03,0.0,0.0,58.667700166854
2051,2022-06-06,0.0,0.0,56.94045827217739
2052,2022-06-07,0.0,0.0,55.60599653258442
2053,2022-06-08,-1.0,-1.0,70.4074188062742
2054,2022-06-09,0.0,0.0,63.034258729084
2055,2022-06-10,0.0,0.0,50.38455397824581
2056,2022-06-13,1.0,1.0,34.295467108107616
2057,2022-06-14,1.0,1.0,37.33891758336475
2058,2022-06-15,1.0,1.0,41.60948386868016
2059,2022-06-16,1.0,1.0,34.50318190979664
2060,2022-06-17,1.0,1.0,29.648472445577312
2061,2022-06-21,1.0,1.0,36.58825662134333
2062,2022-06-22,1.0,1.0,35.7427797581509
2063,2022-06-23,1.0,1.0,38.9637688238944
2064,2022-06-24,1.0,1.0,48.46359151878105
2065,2022-06-27,1.0,1.0,47.49481767690112
2066,2022-06-28,1.0,1.0,40.195846621738234
2067,2022-06-29,1.0,1.0,43.914143114571
2068,2022-06-30,1.0,1.0,45.098511216519476
2069,2022-07-01,0.0,0.0,54.566858943517104
2070,2022-07-05,0.0,0.0,65.9143578988882
2071,2022-07-06,0.0,0.0,66.49952788645902
2072,2022-07-07,0.0,0.0,63.69771939771777
2073,2022-07-08,-1.0,-1.0,70.74418428164319
2074,2022-07-11,0.0,0.0,65.28281854777134
2075,2022-07-12,1.0,1.0,49.94157295586845
2076,2022-07-13,1.0,1.0,49.65974817059241
2077,2022-07-14,1.0,1.0,45.722996432428445
2078,2022-07-15,1.0,1.0,38.94926946431478
2079,2022-07-18,1.0,1.0,39.217664311771465
2080,2022-07-19,0.0,0.0,53.30013670494845
2081,2022-07-20,0.0,0.0,52.22490441724415
2082,2022-07-21,0.0,0.0,59.03860325768794
2083,2022-07-22,0.0,0.0,50.84708800448616
2084,2022-07-25,1.0,1.0,45.462730655776774
2085,2022-07-26,1.0,1.0,35.05327029639096
2086,2022-07-27,0.0,0.0,50.271910106875
2087,2022-07-28,0.0,0.0,56.299494933072275
2088,2022-07-29,0.0,0.0,61.48943745344375
2089,2022-08-01,0.0,0.0,69.4657883991664
2090,2022-08-02,0.0,0.0,67.06301203314712
2091,2022-08-03,0.0,0.0,69.97889540069211
2092,2022-08-04,0.0,0.0,69.34904864396464
2093,2022-08-05,-1.0,-1.0,71.11702235303908
2094,2022-08-08,0.0,0.0,65.95060897059176
2095,2022-08-09,0.0,0.0,65.54884072425419
2096,2022-08-10,0.0,0.0,67.70016347127705
2097,2022-08-11,-1.0,-1.0,70.08741848062277
2098,2022-08-12,-1.0,-1.0,73.72348751457598
2099,2022-08-15,-1.0,-1.0,82.29994024527889
2100,2022-08-16,-1.0,-1.0,74.82909330465553
2101,2022-08-17,0.0,0.0,67.75424859022317
2102,2022-08-18,0.0,0.0,62.148970886001294
2103,2022-08-19,0.0,0.0,60.14960460335906
2104,2022-08-22,0.0,0.0,53.23327392811295
2105,2022-08-23,1.0,1.0,42.263281254282596
2106,2022-08-24,1.0,1.0,39.77629441680785
2107,2022-08-25,1.0,1.0,45.01963127347217
2108,2022-08-26,1.0,1.0,37.502549367289134
2109,2022-08-29,1.0,1.0,32.86491950924379
2110,2022-08-30,1.0,1.0,21.035180587562664
2111,2022-08-31,1.0,1.0,21.337240751265
2112,2022-09-01,1.0,1.0,11.337411330521476
2113,2022-09-02,1.0,1.0,7.029629323236037
2114,2022-09-06,1.0,1.0,6.713467441992805
2115,2022-09-07,1.0,1.0,16.11257208478696
2116,2022-09-08,1.0,1.0,17.24277994873097
2117,2022-09-09,1.0,1.0,28.409306315676915
2118,2022-09-12,1.0,1.0,37.392084423205844
2119,2022-09-13,1.0,1.0,28.690948638477764
2120,2022-09-14,1.0,1.0,29.30639604702118
2121,2022-09-15,1.0,1.0,22.44359296482409
2122,2022-09-16,1.0,1.0,26.931431887903145
2123,2022-09-19,1.0,1.0,28.413578513124847
2124,2022-09-20,1.0,1.0,28.526568281827167
2125,2022-09-21,1.0,1.0,27.380462306517813
2126,2022-09-22,1.0,1.0,30.863216646944053
2127,2022-09-23,1.0,1.0,31.66194084115888
2128,2022-09-26,1.0,1.0,33.23428501111536
2129,2022-09-27,1.0,1.0,24.976911030504127
2130,2022-09-28,1.0,1.0,31.650908339419715
2131,2022-09-29,1.0,1.0,20.16379390702062
2132,2022-09-30,1.0,1.0,14.540867202033539
2133,2022-10-03,1.0,1.0,36.203097117261684
2134,2022-10-04,1.0,1.0,46.569438427931715
2135,2022-10-05,0.0,0.0,54.53034908807423
2136,2022-10-06,0.0,0.0,52.33324232944931
2137,2022-10-07,1.0,1.0,40.86384909803381
2138,2022-10-10,1.0,1.0,38.84758771675379
2139,2022-10-11,1.0,1.0,38.62567849949096
2140,2022-10-12,1.0,1.0,36.83209817973711
2141,2022-10-13,1.0,1.0,47.091375191518786
2142,2022-10-14,1.0,1.0,43.50810774792851
2143,2022-10-17,0.0,0.0,50.73298086340754
2144,2022-10-18,1.0,1.0,48.23270076497485
2145,2022-10-19,1.0,1.0,49.28330241621015
2146,2022-10-20,0.0,0.0,52.42936110649806
2147,2022-10-21,0.0,0.0,51.061203885992285
2148,2022-10-24,1.0,1.0,48.685692125373535
2149,2022-10-25,0.0,0.0,51.121356555124386
2150,2022-10-26,1.0,1.0,40.57053314977403
2151,2022-10-27,1.0,1.0,44.94260493065753
2152,2022-10-28,0.0,0.0,54.2338150123175
2153,2022-10-31,0.0,0.0,54.303278528340165
2154,2022-11-01,0.0,0.0,51.48102653328833
2155,2022-11-02,1.0,1.0,41.30167510611968
2156,2022-11-03,1.0,1.0,41.21547242852444
2157,2022-11-04,1.0,1.0,39.864357393679576
2158,2022-11-07,1.0,1.0,43.75660503165396
2159,2022-11-08,1.0,1.0,45.476161838587025
2160,2022-11-09,1.0,1.0,43.39686891862203
2161,2022-11-10,0.0,0.0,50.427265806621214
2162,2022-11-11,1.0,1.0,49.92974739537034
2163,2022-11-14,1.0,1.0,45.52510010254976
2164,2022-11-15,0.0,0.0,56.4257237383833
2165,2022-11-16,0.0,0.0,59.536539984772276
2166,2022-11-17,0.0,0.0,54.18165931805273
2167,2022-11-18,0.0,0.0,56.86659314292775
2168,2022-11-21,0.0,0.0,61.005395988094946
2169,2022-11-22,-1.0,-1.0,71.50249452373473
2170,2022-11-23,-1.0,-1.0,80.48290007990838
2171,2022-11-25,-1.0,-1.0,77.40446112949661
2172,2022-11-28,0.0,0.0,64.81757661053118
2173,2022-11-29,0.0,0.0,62.11417122037722
2174,2022-11-30,-1.0,-1.0,76.51948474702377
2175,2022-12-01,0.0,0.0,64.73698461254847
2176,2022-12-02,0.0,0.0,61.00752195176634
2177,2022-12-05,0.0,0.0,62.29041389083053
2178,2022-12-06,0.0,0.0,53.952312941059354
2179,2022-12-07,0.0,0.0,53.270564110164266
2180,2022-12-08,0.0,0.0,56.5989867374566
2181,2022-12-09,0.0,0.0,54.68122702975735
