,Cash,Position,pnl,g_sl,g_tp,close,no_trades,no_wins
322,10000,0.0,0,0,0,17,0.0,0.0
323,10000,0.0,0,0,0,17,0.0,0.0
324,10000,0.0,0,0,0,17,0.0,0.0
325,10000,0.0,0,0,0,18,0.0,0.0
326,10000,0.0,0,0,0,18,0.0,0.0
327,10000,0.0,0,0,0,17,0.0,0.0
328,10000,0.0,0,0,0,17,0.0,0.0
329,10000,0.0,0,0,0,17,0.0,0.0
330,10000,0.0,0,0,0,17,0.0,0.0
331,10000,0.0,0,0,0,17,0.0,0.0
332,10000,0.0,0,0,0,17,0.0,0.0
333,10000,0.0,0,0,0,18,0.0,0.0
334,10000,0.0,0,0,0,17,0.0,0.0
335,10000,0.0,0,0,0,17,0.0,0.0
336,10000,0.0,0,0,0,17,0.0,0.0
337,10000,0.0,0,0,0,17,0.0,0.0
338,10000,0.0,0,0,0,17,0.0,0.0
339,10000,0.0,0,0,0,17,0.0,0.0
340,10000,0.0,0,0,0,17,0.0,0.0
341,10000,0.0,0,0,0,16,0.0,0.0
342,10000,0.0,0,0,0,16,0.0,0.0
343,10000,0.0,0,0,0,15,0.0,0.0
344,10000,0.0,0,0,0,15,0.0,0.0
345,10000,0.0,0,0,0,16,0.0,0.0
346,10000,0.0,0,0,0,16,0.0,0.0
347,10000,0.0,0,0,0,16,0.0,0.0
348,10000,0.0,0,0,0,16,0.0,0.0
349,10000,0.0,0,0,0,15,0.0,0.0
350,10000,0.0,0,0,0,15,0.0,0.0
351,10000,0.0,0,0,0,15,0.0,0.0
352,10000,0.0,0,0,0,15,0.0,0.0
353,10000,0.0,0,0,0,16,0.0,0.0
354,10000,0.0,0,0,0,15,0.0,0.0
355,10000,0.0,0,0,0,16,0.0,0.0
356,10000,0.0,0,0,0,16,0.0,0.0
357,10000,0.0,0,0,0,15,0.0,0.0
358,10000,0.0,0,0,0,16,0.0,0.0
359,10000,0.0,0,0,0,16,0.0,0.0
360,10000,0.0,0,0,0,15,0.0,0.0
361,10000,0.0,0,0,0,15,0.0,0.0
362,10000,0.0,0,0,0,15,0.0,0.0
363,10000,0.0,0,0,0,15,0.0,0.0
364,10000,0.0,0,0,0,15,0.0,0.0
365,10000,0.0,0,0,0,15,0.0,0.0
366,10000,0.0,0,0,0,15,0.0,0.0
367,10000,0.0,0,0,0,15,0.0,0.0
368,10000,0.0,0,0,0,15,0.0,0.0
