,Date,signal,short_mavg,long_mavg,momentum,rsi,adx,+DI,-DI
772,2017-05-08,-1.0,68.77100067138672,66.63300018310547,-0.7399978637695312,80.86959175441575,57.80015955955906,34.49475545737475,8.53661211119507
773,2017-05-09,-1.0,68.86700057983398,66.77400029500326,-0.5199966430664062,86.36363636363636,60.92012521038847,37.34397821882896,6.3279768915048535
774,2017-05-10,-1.0,68.95800018310547,66.90833358764648,-0.04000091552734375,85.87569972068644,65.28950783800803,40.089623135331756,6.367703922055652
775,2017-05-11,-1.0,68.97900009155273,67.0163335164388,-0.5400009155273438,69.58174629190732,65.73036725735254,31.740286793782,13.615825116883187
776,2017-05-12,-1.0,68.94899978637696,67.12266693115234,-0.3600006103515625,60.09499594971486,63.05123220506107,24.61530222690419,15.288435298294829
777,2017-05-15,-1.0,68.89499969482422,67.20566685994466,-0.720001220703125,56.5891702102912,58.89798656596916,20.185125923916537,19.074059553100962
778,2017-05-16,-1.0,68.74700012207032,67.28633371988933,-0.7599945068359375,66.59662383956507,55.91267167163114,25.197500184204007,18.086019920825773
779,2017-05-17,1.0,68.69800033569337,67.40300038655599,0.529998779296875,43.680069140456204,51.82828321435198,22.275209155753664,22.195698407842794
780,2017-05-18,-1.0,68.53500061035156,67.43966700236003,-1.2099990844726562,44.038163901975146,48.588822800602564,16.845515260983706,25.43352382656401
781,2017-05-19,1.0,68.39500045776367,67.503000386556,-0.6399993896484375,33.95521432048578,45.76610483316033,13.6868307149309,26.347315550125565
782,2017-05-22,-1.0,68.2870002746582,67.57100041707356,-0.34000396728515625,42.928395337559756,41.07003761374893,15.194023494249919,25.433539849881747
783,2017-05-23,-1.0,68.27300033569335,67.67466710408529,-0.1699981689453125,46.67772633777452,36.52851412538045,17.696828279265436,22.52330646573137
784,2017-05-24,1.0,68.26100082397461,67.78366724650066,1.470001220703125,49.65752574599031,31.98429576668189,18.813500145475707,21.949180486858694
785,2017-05-25,1.0,68.32200088500977,67.90200068155924,1.470001220703125,54.76925749471517,28.37981527515475,26.03066189454415,19.72515682812156
786,2017-05-26,1.0,68.4410011291504,68.05233408610026,1.910003662109375,57.52210895644826,25.504357758430185,28.61733810231727,19.051465285035107
787,2017-05-30,1.0,68.60600128173829,68.21066741943359,1.0699996948242188,59.60731608925432,21.826087129952068,28.205137610192082,18.990389905733046
788,2017-05-31,1.0,68.83600082397462,68.38400065104166,1.6599960327148438,53.56660977999026,18.084307940491286,27.956118774685727,18.559127155062967
789,2017-06-01,1.0,68.97100067138672,68.53700052897135,1.2699966430664062,61.98827930675245,17.35985360442592,28.02192998215419,15.149174182266774
790,2017-06-02,1.0,69.27500076293946,68.70300064086913,0.6399993896484375,70.07125589419624,18.870866779114316,34.6015195231116,13.280710863407228
791,2017-06-05,1.0,69.72200088500976,68.9130007425944,2.1800003051757812,71.65351762869336,23.084833118967705,41.34269635962389,9.752673115609184
792,2017-06-06,1.0,70.1630012512207,69.07366739908854,1.7700042724609375,69.0797079674267,25.768397444688187,34.94700696859085,10.438747096420482
793,2017-06-07,-1.0,70.55500106811523,69.23166732788086,2.4000015258789062,88.66139537454329,30.419565885846573,38.30841553686238,8.043114230061914
794,2017-06-08,-1.0,70.91900100708008,69.37933400472005,2.0699996948242188,82.31703133050254,33.30407027459718,38.21336145287673,9.34652983000171
795,2017-06-09,1.0,71.2260009765625,69.50900065104166,0.06999969482421875,66.09544300416768,31.54659541036209,31.187077435402266,27.095866676695895
796,2017-06-12,-1.0,71.17100067138672,69.52033386230468,-3.0500030517578125,58.36477854636745,29.950436110013396,26.39746799332595,27.95026022822748
